epoch,acc,loss,val_acc,val_loss
0,0.3292,1.79403758835,0.4146,1.58184610233
1,0.41338,1.59422076176,0.4534,1.48427324352
2,0.43678,1.5245162056,0.4919,1.39782734642
3,0.46132,1.46616096565,0.5176,1.33097540398
4,0.48644,1.40420468746,0.5214,1.33622045193
5,0.51396,1.35074018833,0.5527,1.23434579506
6,0.52468,1.32304139824,0.5603,1.21788830547
7,0.53704,1.29261486784,0.573,1.18778400955
8,0.54208,1.27568381195,0.5731,1.1813409874
9,0.54862,1.25714840809,0.5883,1.13953732548
10,0.55432,1.24060727032,0.5961,1.1252664217
11,0.55988,1.22634504616,0.5981,1.1115264082
12,0.56616,1.21059487717,0.6074,1.09071943989
13,0.57144,1.20025665409,0.6139,1.07240308018
14,0.57574,1.18936079556,0.6202,1.05452509613
