epoch,acc,loss,val_acc,val_loss
0,0.2854,1.9404042599868774,0.3357,1.8063597972869874
1,0.3989,1.6199747779083251,0.402,1.617333897781372
2,0.44408,1.506477396850586,0.4473,1.49726273727417
3,0.47588,1.4347305919647217,0.4722,1.450166041946411
4,0.49714,1.383747398338318,0.4784,1.43005891456604
5,0.51284,1.3382838820266723,0.5348,1.2849035583496093
6,0.52288,1.3078137510299683,0.5422,1.2449859689712524
7,0.53596,1.275465732460022,0.5503,1.2341104837417602
8,0.54508,1.250147882118225,0.5375,1.2560234580993652
9,0.5569,1.2247856307983398,0.5711,1.1733867525100707
10,0.56542,1.201894619255066,0.5829,1.1565475397109986
11,0.57192,1.1843244297790527,0.5761,1.1617152198791505
12,0.58006,1.161927614326477,0.595,1.1139222193717957
13,0.58734,1.1474576417541504,0.5705,1.203453762817383
14,0.59006,1.1335403681945802,0.5997,1.0909409342765808
15,0.59674,1.1207904481506348,0.6064,1.0881719593048096
16,0.60366,1.1067018564987183,0.6044,1.0871938209533691
17,0.60788,1.093742434196472,0.5824,1.164690086364746
18,0.60998,1.0868092375564575,0.6078,1.0713409790039063
19,0.61232,1.0761320885849,0.6217,1.0384346040725707
20,0.61806,1.0690454637908935,0.6166,1.0521717821121215
21,0.621,1.0604290287780762,0.6205,1.0525691961288453
22,0.62628,1.0488992224693299,0.6257,1.0353404403686524
23,0.627,1.0426755855178833,0.6338,1.005121481513977
24,0.62724,1.039508106765747,0.6241,1.0461569858551025
