1000,0.234,1.965
2000,0.395,1.598
3000,0.480,1.400
4000,0.539,1.263
5000,0.581,1.161
6000,0.609,1.082
7000,0.632,1.031
8000,0.649,0.977
9000,0.669,0.939
10000,0.678,0.907
11000,0.692,0.866
12000,0.702,0.836
13000,0.713,0.806
14000,0.724,0.789
15000,0.731,0.765
16000,0.741,0.741
17000,0.747,0.723
18000,0.750,0.709
19000,0.760,0.685
20000,0.758,0.688
21000,0.767,0.661
22000,0.771,0.655
23000,0.778,0.638
24000,0.781,0.630
25000,0.786,0.619
26000,0.787,0.609
27000,0.786,0.610
28000,0.792,0.594
29000,0.795,0.587
30000,0.799,0.577
31000,0.797,0.575
32000,0.802,0.568
33000,0.807,0.554
