Cifar10-Adam-Step,Accuracy,Loss
1000,5.000,2.048
2000,5.000,1.647
3000,5.000,1.535
4000,5.000,1.473
5000,5.000,1.420
6000,5.000,1.385
7000,5.000,1.345
8000,5.000,1.317
9000,5.000,1.299
10000,5.000,1.277
11000,5.000,1.253
12000,5.000,1.242
13000,5.000,1.226
14000,5.000,1.212
15000,5.000,1.199
16000,5.000,1.187
17000,5.000,1.172
18000,5.000,1.163
19000,5.000,1.159
20000,5.000,1.144
21000,5.000,1.142
22000,5.000,1.129
23000,5.000,1.125
24000,5.000,1.114
25000,5.000,1.112
26000,5.000,1.101
27000,5.000,1.099
28000,5.000,1.089
29000,5.000,1.079
30000,5.000,1.081
31000,5.000,1.075
32000,5.000,1.077
33000,5.000,1.062
34000,5.000,1.055
35000,5.000,1.049
36000,5.000,1.040
37000,5.000,1.040
38000,5.000,1.032
39000,5.000,1.026
40000,5.000,1.035
