1000,0.460,2.007
1000,0.786,0.633
2000,0.821,0.506
3000,0.830,0.481
4000,0.838,0.461
5000,0.847,0.444
6000,0.851,0.425
7000,0.858,0.405
8000,0.865,0.391
9000,0.865,0.378
10000,0.872,0.363
11000,0.877,0.352
12000,0.878,0.348
1000,0.893,0.308
2000,0.897,0.296
3000,0.901,0.286
4000,0.898,0.291
5000,0.902,0.281
6000,0.902,0.276
1000,0.795,0.605
2000,0.827,0.496
3000,0.836,0.461
4000,0.842,0.447
5000,0.846,0.440
6000,0.851,0.424
7000,0.856,0.412
8000,0.860,0.394
9000,0.865,0.386
10000,0.865,0.384
11000,0.871,0.368
12000,0.870,0.366
13000,0.875,0.356
14000,0.877,0.346
15000,0.880,0.341
16000,0.880,0.334
17000,0.882,0.333
18000,0.888,0.317
19000,0.892,0.307
20000,0.893,0.308
21000,0.891,0.303
22000,0.895,0.297
23000,0.899,0.287
24000,0.898,0.286
25000,0.898,0.287
26000,0.902,0.279
27000,0.901,0.275
