1000,0.238,1.997
2000,0.134,2.441
3000,0.171,2.222
4000,0.187,2.167
5000,0.201,2.132
6000,0.210,2.110
7000,0.222,2.091
8000,0.219,2.088
9000,0.226,2.096
10000,0.237,2.044
11000,0.248,2.014
12000,0.261,1.986
13000,0.265,1.968
14000,0.278,1.946
15000,0.280,1.928
16000,0.286,1.914
17000,0.294,1.896
18000,0.291,1.897
19000,0.299,1.885
20000,0.300,1.873
21000,0.306,1.868
22000,0.308,1.844
23000,0.311,1.841
24000,0.316,1.829
25000,0.321,1.817
1000,0.534,1.444
2000,0.687,0.924
3000,0.729,0.795
4000,0.755,0.724
5000,0.767,0.691
6000,0.778,0.653
7000,0.787,0.617
8000,0.794,0.601
9000,0.800,0.576
10000,0.804,0.563
11000,0.811,0.547
12000,0.817,0.535
13000,0.817,0.524
14000,0.823,0.502
15000,0.827,0.502
16000,0.826,0.501
17000,0.827,0.497
18000,0.833,0.483
19000,0.834,0.477
20000,0.837,0.465
21000,0.841,0.461
22000,0.838,0.463
23000,0.840,0.456
24000,0.846,0.443
25000,0.848,0.439
26000,0.846,0.440
27000,0.847,0.441
28000,0.847,0.431
29000,0.850,0.429
30000,0.854,0.417
31000,0.853,0.420
32000,0.856,0.414
33000,0.857,0.409
34000,0.858,0.410
35000,0.861,0.402
36000,0.859,0.401
37000,0.861,0.398
38000,0.860,0.394
1000,0.867,0.376
2000,0.872,0.365
3000,0.875,0.354
4000,0.872,0.364
5000,0.878,0.353
6000,0.876,0.352
7000,0.874,0.362
8000,0.878,0.353
9000,0.877,0.347
10000,0.877,0.349
11000,0.879,0.345
12000,0.876,0.354
13000,0.878,0.353
14000,0.882,0.346
15000,0.875,0.355
16000,0.877,0.351
17000,0.876,0.352
18000,0.876,0.355
19000,0.880,0.344
20000,0.879,0.347
21000,0.879,0.346
22000,0.881,0.339
23000,0.880,0.344
24000,0.881,0.335
25000,0.879,0.347
1000,0.878,0.353
2000,0.877,0.353
3000,0.876,0.356
4000,0.878,0.352
5000,0.876,0.355
6000,0.877,0.351
7000,0.879,0.352
8000,0.879,0.344
9000,0.879,0.347
1000,0.100,nan
1000,0.101,2.320
2000,0.104,2.305
1000,0.333,1.825
1000,0.109,2.309
1000,0.107,2.328
1000,0.102,2.342
2000,0.100,2.306
1000,0.481,1.446
2000,0.616,1.098
3000,0.660,0.978
4000,0.682,0.914
5000,0.706,0.849
6000,0.724,0.800
7000,0.738,0.768
8000,0.749,0.734
9000,0.763,0.689
10000,0.772,0.661
11000,0.781,0.642
12000,0.792,0.612
13000,0.799,0.594
14000,0.803,0.571
15000,0.812,0.552
16000,0.817,0.532
17000,0.822,0.516
18000,0.833,0.490
19000,0.835,0.482
20000,0.843,0.462
21000,0.845,0.448
22000,0.856,0.424
23000,0.859,0.412
24000,0.861,0.405
25000,0.866,0.390
26000,0.869,0.381
27000,0.872,0.366
28000,0.874,0.362
29000,0.881,0.347
30000,0.886,0.334
31000,0.889,0.325
32000,0.893,0.315
33000,0.894,0.314
34000,0.895,0.301
35000,0.896,0.297
36000,0.899,0.292
37000,0.904,0.282
38000,0.909,0.269
39000,0.906,0.269
40000,0.910,0.268
41000,0.913,0.255
42000,0.916,0.248
43000,0.917,0.243
44000,0.920,0.235
45000,0.922,0.231
46000,0.923,0.226
47000,0.924,0.227
48000,0.925,0.220
49000,0.926,0.217
50000,0.926,0.218
