1000,0.441,2.893
2000,0.555,1.324
3000,0.601,1.169
4000,0.624,1.088
5000,0.643,1.036
6000,0.658,0.992
7000,0.664,0.965
8000,0.673,0.945
9000,0.679,0.916
10000,0.685,0.908
11000,0.693,0.889
12000,0.696,0.877
13000,0.700,0.858
14000,0.705,0.848
15000,0.708,0.838
16000,0.713,0.828
17000,0.715,0.820
18000,0.720,0.806
19000,0.717,0.816
20000,0.722,0.798
21000,0.723,0.794
22000,0.731,0.779
23000,0.730,0.773
24000,0.729,0.778
25000,0.735,0.756
26000,0.735,0.755
27000,0.742,0.749
28000,0.739,0.747
29000,0.741,0.742
30000,0.743,0.737
31000,0.745,0.730
32000,0.745,0.728
33000,0.744,0.735
34000,0.746,0.723
35000,0.751,0.714
36000,0.751,0.711
37000,0.752,0.708
38000,0.753,0.702
39000,0.753,0.699
40000,0.754,0.699
41000,0.757,0.691
42000,0.756,0.694
43000,0.755,0.697
44000,0.759,0.681
45000,0.757,0.682
46000,0.760,0.684
47000,0.762,0.684
48000,0.763,0.673
49000,0.766,0.674
50000,0.766,0.666
