1000,0.414,1.670
2000,0.613,1.115
3000,0.672,0.956
4000,0.699,0.873
5000,0.717,0.820
6000,0.729,0.784
7000,0.745,0.740
8000,0.757,0.712
9000,0.768,0.687
10000,0.774,0.660
11000,0.778,0.648
12000,0.782,0.629
13000,0.793,0.609
14000,0.794,0.600
15000,0.799,0.586
16000,0.820,0.518
17000,0.825,0.499
18000,0.826,0.498
19000,0.826,0.496
20000,0.830,0.493
21000,0.830,0.491
22000,0.829,0.492
23000,0.831,0.486
24000,0.833,0.483
25000,0.832,0.480
26000,0.832,0.485
27000,0.833,0.481
28000,0.830,0.491
29000,0.832,0.476
30000,0.833,0.485
31000,0.833,0.477
32000,0.834,0.479
33000,0.836,0.476
34000,0.834,0.475
35000,0.832,0.478
36000,0.833,0.479
37000,0.835,0.474
38000,0.834,0.478
39000,0.833,0.478
40000,0.833,0.476
41000,0.836,0.474
42000,0.834,0.476
43000,0.836,0.470
44000,0.834,0.474
45000,0.835,0.471
46000,0.835,0.473
47000,0.837,0.467
48000,0.836,0.470
49000,0.835,0.476
50000,0.835,0.471
