1000,0.806,0.563
2000,0.815,0.536
3000,0.824,0.511
4000,0.827,0.500
5000,0.833,0.482
6000,0.841,0.462
7000,0.841,0.454
8000,0.844,0.441
9000,0.849,0.438
10000,0.855,0.416
11000,0.854,0.417
12000,0.860,0.405
13000,0.863,0.393
14000,0.866,0.385
15000,0.863,0.389
16000,0.868,0.374
17000,0.869,0.374
18000,0.874,0.364
19000,0.874,0.360
20000,0.874,0.356
21000,0.879,0.347
22000,0.880,0.345
23000,0.881,0.340
24000,0.881,0.339
25000,0.884,0.333
1000,0.893,0.309
2000,0.898,0.296
3000,0.898,0.289
4000,0.903,0.278
5000,0.904,0.277
6000,0.900,0.285
1000,0.904,0.277
2000,0.902,0.283
3000,0.902,0.277
4000,0.904,0.271
5000,0.904,0.275
6000,0.905,0.268
7000,0.903,0.275
8000,0.904,0.275
9000,0.907,0.265
10000,0.906,0.275
11000,0.903,0.272
12000,0.907,0.265
13000,0.907,0.272
14000,0.905,0.273
15000,0.905,0.271
16000,0.907,0.266
17000,0.905,0.267
18000,0.906,0.271
19000,0.909,0.259
20000,0.909,0.262
21000,0.910,0.260
22000,0.908,0.270
23000,0.907,0.267
24000,0.909,0.260
25000,0.910,0.259
