1000,0.308,1.902
2000,0.413,1.613
3000,0.446,1.518
4000,0.475,1.450
5000,0.500,1.387
6000,0.521,1.341
7000,0.537,1.296
8000,0.546,1.263
9000,0.560,1.223
10000,0.576,1.200
11000,0.583,1.171
12000,0.593,1.142
13000,0.604,1.127
14000,0.611,1.107
15000,0.619,1.089
16000,0.623,1.066
17000,0.624,1.060
18000,0.631,1.044
19000,0.636,1.037
20000,0.641,1.019
21000,0.647,1.011
22000,0.649,1.001
23000,0.651,0.995
24000,0.659,0.972
25000,0.659,0.976
26000,0.663,0.955
27000,0.663,0.956
28000,0.664,0.952
29000,0.673,0.934
30000,0.668,0.943
31000,0.673,0.924
32000,0.675,0.922
33000,0.678,0.923
34000,0.683,0.909
35000,0.685,0.902
36000,0.687,0.897
37000,0.688,0.891
38000,0.690,0.887
39000,0.694,0.879
40000,0.691,0.883
41000,0.691,0.875
42000,0.697,0.869
43000,0.698,0.861
44000,0.699,0.858
45000,0.702,0.853
46000,0.706,0.847
47000,0.702,0.848
48000,0.708,0.842
49000,0.709,0.831
50000,0.710,0.834
