1000,0.650,1.078
2000,0.699,0.878
3000,0.719,0.825
4000,0.733,0.779
5000,0.736,0.769
6000,0.732,0.775
7000,0.747,0.739
8000,0.758,0.708
9000,0.760,0.699
10000,0.762,0.698
11000,0.773,0.672
12000,0.777,0.649
13000,0.780,0.645
14000,0.782,0.632
15000,0.781,0.637
16000,0.792,0.608
17000,0.791,0.609
18000,0.798,0.587
19000,0.804,0.578
20000,0.801,0.579
21000,0.808,0.558
22000,0.809,0.551
23000,0.811,0.550
24000,0.812,0.547
25000,0.816,0.539
26000,0.817,0.533
27000,0.824,0.516
28000,0.819,0.529
29000,0.824,0.514
30000,0.802,0.572
31000,0.822,0.515
32000,0.823,0.511
33000,0.826,0.506
34000,0.829,0.495
35000,0.830,0.494
36000,0.829,0.496
37000,0.836,0.481
38000,0.816,0.526
39000,0.838,0.474
40000,0.837,0.472
41000,0.838,0.470
42000,0.841,0.462
43000,0.841,0.462
44000,0.839,0.469
45000,0.818,0.530
46000,0.846,0.447
47000,0.847,0.444
48000,0.844,0.452
49000,0.843,0.449
50000,0.823,0.514
