1000,0.473,1.602
2000,0.653,0.987
3000,0.697,0.868
4000,0.720,0.802
5000,0.736,0.761
6000,0.748,0.727
7000,0.760,0.698
8000,0.768,0.677
9000,0.777,0.654
10000,0.776,0.643
11000,0.783,0.629
12000,0.787,0.613
13000,0.791,0.603
14000,0.794,0.595
15000,0.800,0.580
16000,0.801,0.574
17000,0.805,0.565
18000,0.804,0.561
19000,0.811,0.546
20000,0.817,0.528
21000,0.813,0.536
22000,0.817,0.528
23000,0.821,0.520
24000,0.822,0.517
25000,0.824,0.511
26000,0.825,0.502
27000,0.826,0.501
28000,0.832,0.488
29000,0.833,0.490
30000,0.833,0.485
31000,0.832,0.486
32000,0.836,0.479
33000,0.837,0.469
34000,0.839,0.467
35000,0.840,0.463
36000,0.839,0.465
37000,0.841,0.455
38000,0.842,0.452
39000,0.845,0.454
40000,0.848,0.441
41000,0.848,0.438
42000,0.852,0.434
43000,0.848,0.440
44000,0.850,0.432
45000,0.852,0.433
46000,0.852,0.425
47000,0.855,0.420
48000,0.852,0.425
49000,0.849,0.427
50000,0.857,0.407
