1000,0.273,1.898
2000,0.428,1.497
3000,0.529,1.300
4000,0.590,1.153
5000,0.639,1.032
6000,0.666,0.965
7000,0.683,0.914
8000,0.705,0.856
9000,0.719,0.817
10000,0.733,0.774
11000,0.746,0.737
12000,0.757,0.708
13000,0.770,0.673
14000,0.776,0.651
15000,0.782,0.634
16000,0.794,0.607
17000,0.800,0.583
18000,0.825,0.507
19000,0.832,0.482
20000,0.832,0.476
21000,0.839,0.469
22000,0.839,0.460
23000,0.840,0.461
24000,0.842,0.455
25000,0.841,0.453
26000,0.842,0.455
27000,0.844,0.448
28000,0.846,0.442
29000,0.845,0.451
30000,0.844,0.441
31000,0.851,0.431
32000,0.848,0.434
33000,0.846,0.437
34000,0.850,0.432
35000,0.849,0.437
36000,0.851,0.426
37000,0.852,0.426
38000,0.849,0.433
39000,0.848,0.424
40000,0.853,0.422
41000,0.851,0.424
42000,0.855,0.421
43000,0.852,0.421
44000,0.850,0.425
45000,0.855,0.414
46000,0.855,0.416
47000,0.855,0.414
48000,0.853,0.415
49000,0.856,0.412
50000,0.855,0.411
