Cifar10-Adam-Step,Accuracy,Loss
2000,5.000,2.022
4000,5.000,1.745
6000,5.000,1.643
8000,5.000,1.564
10000,5.000,1.508
12000,5.000,1.495
14000,5.000,1.434
16000,5.000,1.392
18000,5.000,1.378
20000,5.000,1.345
22000,5.000,1.319
24000,5.000,1.292
26000,5.000,1.244
28000,5.000,1.236
30000,5.000,1.209
32000,5.000,1.211
34000,5.000,1.164
36000,5.000,1.163
38000,5.000,1.116
40000,5.000,1.123
42000,5.000,1.098
44000,5.000,1.072
46000,5.000,1.089
48000,5.000,1.071
50000,5.000,1.041
52000,5.000,1.006
54000,5.000,0.992
56000,5.000,1.012
58000,5.000,1.001
60000,5.000,1.015
62000,5.000,0.961
64000,5.000,0.936
66000,5.000,0.947
68000,5.000,0.955
70000,5.000,0.927
72000,5.000,0.954
74000,5.000,0.902
76000,5.000,0.899
78000,5.000,0.903
80000,5.000,0.885
82000,5.000,0.902
84000,5.000,0.902
86000,5.000,0.857
88000,5.000,0.840
90000,5.000,0.859
92000,5.000,0.851
94000,5.000,0.854
96000,5.000,0.860
98000,5.000,0.805
100000,5.000,0.810
102000,5.000,0.832
104000,5.000,0.807
106000,5.000,0.817
108000,5.000,0.816
110000,5.000,0.776
112000,5.000,0.782
114000,5.000,0.781
116000,5.000,0.765
118000,5.000,0.774
120000,5.000,0.779
122000,5.000,0.730
124000,5.000,0.757
126000,5.000,0.750
128000,5.000,0.751
130000,5.000,0.755
132000,5.000,0.735
134000,5.000,0.728
136000,5.000,0.717
138000,5.000,0.721
140000,5.000,0.737
142000,5.000,0.724
144000,5.000,0.720
146000,5.000,0.685
148000,5.000,0.689
150000,5.000,0.682
152000,5.000,0.701
154000,5.000,0.698
156000,5.000,0.695
158000,5.000,0.676
160000,5.000,0.660
162000,5.000,0.686
164000,5.000,0.656
166000,5.000,0.657
168000,5.000,0.675
170000,5.000,0.648
172000,5.000,0.640
174000,5.000,0.648
176000,5.000,0.651
178000,5.000,0.633
180000,5.000,0.659
182000,5.000,0.604
184000,5.000,0.629
186000,5.000,0.626
188000,5.000,0.630
190000,5.000,0.625
192000,5.000,0.623
194000,5.000,0.589
196000,5.000,0.598
198000,5.000,0.611
200000,5.000,0.603
202000,5.000,0.612
204000,5.000,0.625
206000,5.000,0.569
208000,5.000,0.599
210000,5.000,0.572
212000,5.000,0.588
214000,5.000,0.593
216000,5.000,0.585
218000,5.000,0.546
220000,5.000,0.573
222000,5.000,0.549
224000,5.000,0.581
226000,5.000,0.590
228000,5.000,0.569
230000,5.000,0.535
232000,5.000,0.543
234000,5.000,0.535
236000,5.000,0.546
238000,5.000,0.560
240000,5.000,0.538
242000,5.000,0.521
244000,5.000,0.534
246000,5.000,0.527
248000,5.000,0.528
250000,5.000,0.538
252000,5.000,0.542
254000,5.000,0.521
256000,5.000,0.528
258000,5.000,0.514
260000,5.000,0.523
262000,5.000,0.541
264000,5.000,0.506
266000,5.000,0.496
268000,5.000,0.508
270000,5.000,0.508
272000,5.000,0.516
274000,5.000,0.504
276000,5.000,0.516
278000,5.000,0.466
280000,5.000,0.498
282000,5.000,0.499
284000,5.000,0.497
286000,5.000,0.505
288000,5.000,0.494
290000,5.000,0.467
292000,5.000,0.484
294000,5.000,0.492
296000,5.000,0.469
298000,5.000,0.501
300000,5.000,0.499
