Cifar10-Adam-Step,Accuracy,Loss
2000,5.000,2.052
4000,5.000,1.807
6000,5.000,1.693
8000,5.000,1.626
10000,5.000,1.602
12000,5.000,1.561
14000,5.000,1.524
16000,5.000,1.494
18000,5.000,1.506
20000,5.000,1.481
22000,5.000,1.485
24000,5.000,1.496
26000,5.000,1.424
28000,5.000,1.454
30000,5.000,1.442
32000,5.000,1.433
34000,5.000,1.434
36000,5.000,1.415
38000,5.000,1.387
40000,5.000,1.426
42000,5.000,1.402
44000,5.000,1.392
46000,5.000,1.412
48000,5.000,1.429
50000,5.000,1.352
52000,5.000,1.381
54000,5.000,1.373
56000,5.000,1.403
58000,5.000,1.400
60000,5.000,1.385
62000,5.000,1.384
64000,5.000,1.384
66000,5.000,1.389
68000,5.000,1.375
70000,5.000,1.384
72000,5.000,1.384
74000,5.000,1.359
76000,5.000,1.373
78000,5.000,1.381
80000,5.000,1.371
82000,5.000,1.361
84000,5.000,1.359
86000,5.000,1.340
88000,5.000,1.363
90000,5.000,1.363
92000,5.000,1.353
94000,5.000,1.375
96000,5.000,1.378
98000,5.000,1.336
100000,5.000,1.323
102000,5.000,1.381
104000,5.000,1.327
106000,5.000,1.350
108000,5.000,1.393
110000,5.000,1.349
112000,5.000,1.351
114000,5.000,1.359
116000,5.000,1.344
118000,5.000,1.376
120000,5.000,1.336
122000,5.000,1.335
124000,5.000,1.357
126000,5.000,1.361
128000,5.000,1.344
130000,5.000,1.396
132000,5.000,1.365
134000,5.000,1.362
136000,5.000,1.378
138000,5.000,1.361
140000,5.000,1.348

142000,5.000,1.265
144000,5.000,1.258
146000,5.000,1.199
148000,5.000,1.211
150000,5.000,1.211
152000,5.000,1.187
154000,5.000,1.178
156000,5.000,1.175
158000,5.000,1.179
160000,5.000,1.154
162000,5.000,1.141
164000,5.000,1.181
166000,5.000,1.134
168000,5.000,1.141
170000,5.000,1.137
172000,5.000,1.127
174000,5.000,1.140
176000,5.000,1.136
178000,5.000,1.106
180000,5.000,1.132
182000,5.000,1.127
184000,5.000,1.126
186000,5.000,1.127
188000,5.000,1.114
190000,5.000,1.138
192000,5.000,1.107
194000,5.000,1.125
196000,5.000,1.096
198000,5.000,1.113
200000,5.000,1.108
202000,5.000,1.086
204000,5.000,1.090
206000,5.000,1.086
208000,5.000,1.097
210000,5.000,1.116
212000,5.000,1.109
214000,5.000,1.100
216000,5.000,1.078
218000,5.000,1.081
220000,5.000,1.096
222000,5.000,1.091
224000,5.000,1.110
226000,5.000,1.100
228000,5.000,1.070
230000,5.000,1.096
232000,5.000,1.070
234000,5.000,1.084
236000,5.000,1.070
238000,5.000,1.067
240000,5.000,1.068
242000,5.000,1.077
244000,5.000,1.075
246000,5.000,1.070
248000,5.000,1.075
250000,5.000,1.064
252000,5.000,1.057
254000,5.000,1.080
256000,5.000,1.056
258000,5.000,1.062
260000,5.000,1.053
262000,5.000,1.066
264000,5.000,1.042
266000,5.000,1.058
268000,5.000,1.059
270000,5.000,1.063
272000,5.000,1.057
274000,5.000,1.021
276000,5.000,1.066
278000,5.000,1.029
280000,5.000,1.040
282000,5.000,1.048
284000,5.000,1.043
286000,5.000,1.040
288000,5.000,1.035
290000,5.000,1.058
292000,5.000,1.022
294000,5.000,1.049
296000,5.000,1.022
298000,5.000,1.045
300000,5.000,1.033
302000,5.000,1.038
304000,5.000,1.031
306000,5.000,1.038
308000,5.000,1.015
310000,5.000,1.012
312000,5.000,1.036
314000,5.000,1.016
316000,5.000,1.014
318000,5.000,1.057
320000,5.000,1.039
322000,5.000,1.020
324000,5.000,0.997
326000,5.000,1.036
328000,5.000,1.027
330000,5.000,1.025
332000,5.000,1.014
334000,5.000,0.994
336000,5.000,1.013
338000,5.000,1.034
340000,5.000,1.029
342000,5.000,0.986
344000,5.000,1.022
346000,5.000,1.014
348000,5.000,0.987
350000,5.000,0.980
352000,5.000,1.046
354000,5.000,1.015
356000,5.000,1.017
358000,5.000,1.011
360000,5.000,1.013
362000,5.000,1.016
364000,5.000,0.971
366000,5.000,1.016
368000,5.000,1.009
370000,5.000,0.992
372000,5.000,1.011
374000,5.000,1.007
376000,5.000,0.993
378000,5.000,1.009
380000,5.000,1.012
382000,5.000,0.983
384000,5.000,1.011
386000,5.000,0.979
388000,5.000,1.024
390000,5.000,1.003
392000,5.000,1.001
394000,5.000,0.984
396000,5.000,1.010
398000,5.000,0.992
400000,5.000,1.001
402000,5.000,0.998
404000,5.000,1.013
406000,5.000,0.971
408000,5.000,0.984
410000,5.000,0.992
412000,5.000,0.987
414000,5.000,0.991
416000,5.000,0.976
418000,5.000,0.967
420000,5.000,0.985
422000,5.000,0.989
424000,5.000,0.996
426000,5.000,1.005
428000,5.000,0.999
430000,5.000,0.975
432000,5.000,0.973
434000,5.000,0.974
436000,5.000,0.948
438000,5.000,0.989
440000,5.000,1.005
442000,5.000,0.968
444000,5.000,0.974
446000,5.000,0.987
448000,5.000,0.968
450000,5.000,0.986
452000,5.000,0.983
454000,5.000,0.962
456000,5.000,0.985
458000,5.000,0.976
460000,5.000,0.975
462000,5.000,0.971
464000,5.000,0.971
466000,5.000,0.953
468000,5.000,0.978
470000,5.000,0.969
472000,5.000,0.972
474000,5.000,0.983
476000,5.000,0.950
478000,5.000,0.959
480000,5.000,0.943
482000,5.000,0.953
484000,5.000,0.966
486000,5.000,0.978
488000,5.000,0.983
490000,5.000,0.945
492000,5.000,0.967
494000,5.000,0.942
496000,5.000,0.961
498000,5.000,0.969
500000,5.000,0.971
502000,5.000,0.951
504000,5.000,0.973
506000,5.000,0.952
508000,5.000,0.961
510000,5.000,0.961
512000,5.000,0.964
514000,5.000,0.936
