Cifar10-Adam-Step,Accuracy,Loss
2000,5.000,1.891
4000,5.000,1.551
6000,5.000,1.417
8000,5.000,1.334
10000,5.000,1.254
12000,5.000,1.200
14000,5.000,1.144
16000,5.000,1.099
18000,5.000,1.054
20000,5.000,1.018
22000,5.000,0.986
24000,5.000,0.951
26000,5.000,0.917
28000,5.000,0.895
30000,5.000,0.865
32000,5.000,0.835
34000,5.000,0.812
36000,5.000,0.794
38000,5.000,0.769
40000,5.000,0.749
42000,5.000,0.730
44000,5.000,0.713
46000,5.000,0.683
48000,5.000,0.671
50000,5.000,0.649
52000,5.000,0.639
54000,5.000,0.621
56000,5.000,0.607
58000,5.000,0.586
60000,5.000,0.574
62000,5.000,0.563
64000,5.000,0.544
66000,5.000,0.530
68000,5.000,0.526
70000,5.000,0.509
72000,5.000,0.499
74000,5.000,0.488
76000,5.000,0.474
78000,5.000,0.466
80000,5.000,0.458
82000,5.000,0.450
84000,5.000,0.445
86000,5.000,0.430
88000,5.000,0.420
90000,5.000,0.410
92000,5.000,0.410
94000,5.000,0.396
96000,5.000,0.393
98000,5.000,0.381
100000,5.000,0.379
102000,5.000,0.371
104000,5.000,0.367
106000,5.000,0.363
108000,5.000,0.354
110000,5.000,0.352
112000,5.000,0.351
114000,5.000,0.344
116000,5.000,0.331
118000,5.000,0.334
120000,5.000,0.318
122000,5.000,0.323
124000,5.000,0.312
126000,5.000,0.314
128000,5.000,0.309
130000,5.000,0.308
132000,5.000,0.300
134000,5.000,0.294
136000,5.000,0.289
138000,5.000,0.289
140000,5.000,0.284
142000,5.000,0.277
144000,5.000,0.278
146000,5.000,0.277
148000,5.000,0.278
150000,5.000,0.276
