Cifar10-Adam-Step,Accuracy,Loss
2000,5.000,2.016
4000,5.000,1.695
6000,5.000,1.545
8000,5.000,1.472
10000,5.000,1.423
12000,5.000,1.400
14000,5.000,1.362
16000,5.000,1.328
18000,5.000,1.303
20000,5.000,1.288
22000,5.000,1.267
24000,5.000,1.250
26000,5.000,1.238
28000,5.000,1.223
30000,5.000,1.218
32000,5.000,1.198
34000,5.000,1.181
36000,5.000,1.176
38000,5.000,1.164
40000,5.000,1.147
42000,5.000,1.147
44000,5.000,1.143
46000,5.000,1.122
48000,5.000,1.130
50000,5.000,1.115
52000,5.000,1.112
54000,5.000,1.108
56000,5.000,1.108
58000,5.000,1.092
60000,5.000,1.083
62000,5.000,1.078
64000,5.000,1.070
66000,5.000,1.081
68000,5.000,1.060
70000,5.000,1.058
72000,5.000,1.053
74000,5.000,1.052
76000,5.000,1.047
78000,5.000,1.050
80000,5.000,1.042
82000,5.000,1.048
84000,5.000,1.033
86000,5.000,1.035
88000,5.000,1.023
90000,5.000,1.031
92000,5.000,1.019
94000,5.000,1.015
96000,5.000,1.018
98000,5.000,1.014
100000,5.000,1.020
102000,5.000,1.001
104000,5.000,1.005
106000,5.000,0.998
108000,5.000,1.004
110000,5.000,0.998
112000,5.000,1.000
114000,5.000,0.990
116000,5.000,0.982
118000,5.000,0.983
120000,5.000,0.986
122000,5.000,0.985
124000,5.000,0.980
126000,5.000,0.982
128000,5.000,0.973
130000,5.000,0.971
132000,5.000,0.972
134000,5.000,0.970
136000,5.000,0.970
138000,5.000,0.964
140000,5.000,0.963
142000,5.000,0.958
144000,5.000,0.963
146000,5.000,0.969
148000,5.000,0.961
150000,5.000,0.956
152000,5.000,0.959
154000,5.000,0.954
156000,5.000,0.953
158000,5.000,0.945
160000,5.000,0.959
162000,5.000,0.955
164000,5.000,0.943
166000,5.000,0.946
168000,5.000,0.936
170000,5.000,0.936
172000,5.000,0.944
174000,5.000,0.936
176000,5.000,0.941
178000,5.000,0.937
180000,5.000,0.923
182000,5.000,0.929
184000,5.000,0.933
186000,5.000,0.934
188000,5.000,0.921
190000,5.000,0.919
192000,5.000,0.922
194000,5.000,0.924
196000,5.000,0.924
198000,5.000,0.920
200000,5.000,0.923
