Cifar10-Adam-Step,Accuracy,Loss
2000,5.000,2.003
4000,5.000,1.688
6000,5.000,1.581
8000,5.000,1.515
10000,5.000,1.461
12000,5.000,1.407
14000,5.000,1.365
16000,5.000,1.328
18000,5.000,1.292
20000,5.000,1.266
22000,5.000,1.238
24000,5.000,1.223
26000,5.000,1.196
28000,5.000,1.182
30000,5.000,1.162
32000,5.000,1.145
34000,5.000,1.128
36000,5.000,1.119
38000,5.000,1.100
40000,5.000,1.091
42000,5.000,1.081
44000,5.000,1.061
46000,5.000,1.048
48000,5.000,1.041
50000,5.000,1.033
52000,5.000,1.018
54000,5.000,1.009
56000,5.000,1.000
58000,5.000,0.986
60000,5.000,0.978
62000,5.000,0.972
64000,5.000,0.956
66000,5.000,0.953
68000,5.000,0.948
70000,5.000,0.935
72000,5.000,0.928
74000,5.000,0.918
76000,5.000,0.913
78000,5.000,0.908
80000,5.000,0.893
82000,5.000,0.892
84000,5.000,0.878
86000,5.000,0.874
88000,5.000,0.872
90000,5.000,0.857
92000,5.000,0.860
94000,5.000,0.846
96000,5.000,0.839
98000,5.000,0.837
100000,5.000,0.832
102000,5.000,0.821
104000,5.000,0.815
106000,5.000,0.799
108000,5.000,0.799
110000,5.000,0.798
112000,5.000,0.791
114000,5.000,0.783
116000,5.000,0.775
118000,5.000,0.762
120000,5.000,0.761
122000,5.000,0.765
124000,5.000,0.754
126000,5.000,0.747
128000,5.000,0.739
130000,5.000,0.738
132000,5.000,0.730
134000,5.000,0.721
136000,5.000,0.728
138000,5.000,0.703
140000,5.000,0.712
142000,5.000,0.703
144000,5.000,0.699
146000,5.000,0.690
148000,5.000,0.683
150000,5.000,0.687
1000,5.000,2.018
2000,5.000,1.691
3000,5.000,1.575
4000,5.000,1.503
5000,5.000,1.465
6000,5.000,1.419
7000,5.000,1.389
8000,5.000,1.359
9000,5.000,1.338
10000,5.000,1.318
11000,5.000,1.296
12000,5.000,1.279
13000,5.000,1.264
14000,5.000,1.239
15000,5.000,1.224
16000,5.000,1.204
17000,5.000,1.186
18000,5.000,1.174
19000,5.000,1.159
20000,5.000,1.147
21000,5.000,1.140
22000,5.000,1.120
23000,5.000,1.113
24000,5.000,1.097
25000,5.000,1.093
26000,5.000,1.071
27000,5.000,1.066
28000,5.000,1.050
29000,5.000,1.051
30000,5.000,1.032
31000,5.000,1.031
32000,5.000,1.007
33000,5.000,1.004
34000,5.000,1.007
35000,5.000,0.990
36000,5.000,0.978
37000,5.000,0.973
38000,5.000,0.963
39000,5.000,0.963
40000,5.000,0.951
41000,5.000,0.943
42000,5.000,0.938
43000,5.000,0.930
44000,5.000,0.921
45000,5.000,0.916
46000,5.000,0.910
47000,5.000,0.901
48000,5.000,0.902
49000,5.000,0.888
50000,5.000,0.881
51000,5.000,0.874
52000,5.000,0.868
53000,5.000,0.859
54000,5.000,0.862
55000,5.000,0.856
56000,5.000,0.850
57000,5.000,0.838
58000,5.000,0.831
59000,5.000,0.829
60000,5.000,0.825
61000,5.000,0.815
62000,5.000,0.807
63000,5.000,0.805
64000,5.000,0.797
65000,5.000,0.790
66000,5.000,0.785
67000,5.000,0.779
68000,5.000,0.778
69000,5.000,0.767
70000,5.000,0.761
71000,5.000,0.758
72000,5.000,0.751
73000,5.000,0.740
74000,5.000,0.742
75000,5.000,0.735
1000,5.000,1.919
2000,5.000,1.549
3000,5.000,1.434
4000,5.000,1.363
5000,5.000,1.293
6000,5.000,1.228
7000,5.000,1.182
8000,5.000,1.122
9000,5.000,1.076
10000,5.000,1.048
11000,5.000,1.005
12000,5.000,0.976
13000,5.000,0.947
14000,5.000,0.917
15000,5.000,0.878
16000,5.000,0.852
17000,5.000,0.823
18000,5.000,0.801
19000,5.000,0.779
20000,5.000,0.762
21000,5.000,0.735
22000,5.000,0.718
23000,5.000,0.704
24000,5.000,0.678
25000,5.000,0.653
26000,5.000,0.649
27000,5.000,0.624
28000,5.000,0.613
29000,5.000,0.601
30000,5.000,0.590
31000,5.000,0.571
32000,5.000,0.550
33000,5.000,0.546
34000,5.000,0.533
35000,5.000,0.514
36000,5.000,0.503
37000,5.000,0.491
38000,5.000,0.477
39000,5.000,0.476
40000,5.000,0.465
41000,5.000,0.450
42000,5.000,0.439
43000,5.000,0.428
44000,5.000,0.426
45000,5.000,0.422
46000,5.000,0.415
47000,5.000,0.408
48000,5.000,0.393
49000,5.000,0.386
50000,5.000,0.374
51000,5.000,0.386
52000,5.000,0.373
53000,5.000,0.366
54000,5.000,0.359
55000,5.000,0.355
56000,5.000,0.348
57000,5.000,0.336
58000,5.000,0.336
59000,5.000,0.332
60000,5.000,0.331
61000,5.000,0.322
62000,5.000,0.319
63000,5.000,0.315
64000,5.000,0.318
65000,5.000,0.308
66000,5.000,0.304
67000,5.000,0.298
68000,5.000,0.300
69000,5.000,0.294
70000,5.000,0.297
71000,5.000,0.292
72000,5.000,0.288
73000,5.000,0.286
74000,5.000,0.272
75000,5.000,0.276
1000,28.866,0.275
2000,29.005,0.264
3000,29.056,0.265
4000,28.958,0.268
5000,28.985,0.268
6000,29.023,0.266
7000,29.190,0.256
8000,29.234,0.246
9000,29.227,0.251
10000,29.165,0.251
11000,29.200,0.250
12000,29.248,0.247
13000,29.242,0.248
14000,29.243,0.242
15000,29.274,0.243
